,Persons involved,No. of cases
0,"Branch Manager, Central Bank of India",30
1,"Branch Manager,Cholamandalam Investment & Finance Co. Ltd.",28
2,DCI India Pvt. Ltd.,24
3,"Tata Motors Finance Ltd.,",18
4,Ramji Khamari,15
5,"Branch Manger, SREI Equipement Finance Ltd.",14
6,The Executive Engineer(Electrical) NESCO Utility,12
7,Kalinga Institute of Mining Engineering & Technology Trust.,10
8,Hinduja Leyland Finance Ltd.,9
9,Indusind Bank Ltd.,8
