,Respondent,No. of cases
0,Bajwa Developers Ltd.,207
1,The Mohali Cooperative House Building,86
2,Punjab Urban Planning & Development Authority,80
3,Sky Rock City Welfare Society,77
4,Punjab State Federation,59
5,Puda and another,58
6,Jalandhar Improvement Trust,53
7,C & C Towers Ltd,52
8,BCL Homes Limited,47
9,Ansal Properties & Infrastructure Ltd.,43
